log2FoldChange padj pval genes gene_type
284 -0.754213511425067 0.000694265246029598 1.57280058532785e-05 HINT2 downregulated
285 -0.698553816081339 0.000702903027261949 1.59670482092032e-05 ALKBH2 downregulated
286 -0.685310625026803 0.000712827091645187 1.63021452123542e-05 C11orf1 downregulated
287 -1.86282403423905 0.000712827091645187 1.63478734484423e-05 ADGRG5 downregulated
288 -0.924815333439636 0.000712827091645187 1.63114504297749e-05 CXADR downregulated
289 -0.437327689587696 0.000720480146320565 1.6624139860564e-05 C1orf50 downregulated
290 -0.366931791250771 0.000720480146320565 1.66064250980039e-05 MED8 downregulated
291 -0.929682880480758 0.000721643165126131 1.67182516695887e-05 CALM2 downregulated
292 -0.335471322847011 0.000721643165126131 1.67073488071326e-05 LARP4B downregulated
293 -0.709406809919914 0.000730616000847392 1.7028294430788e-05 LAPTM4B downregulated
294 -0.613515304553729 0.000731876740001761 1.70917935366094e-05 FDPS downregulated
295 -0.500816526971899 0.00073991593078469 1.73140258823435e-05 BAG5 downregulated
296 -0.400416287072558 0.000740954401281745 1.74419415768089e-05 CSNK2B downregulated
297 -0.57849877144734 0.000740954401281745 1.74207412582944e-05 SSR4 downregulated
298 -0.793706662940786 0.000740954401281745 1.74382576531557e-05 RAB11A downregulated
299 -0.499236341003428 0.000744016990525648 1.75833969233442e-05 TRAPPC11 downregulated
300 -0.96895577960748 0.000747413997763818 1.77370354765691e-05 ZWILCH downregulated
301 -0.625194162424711 0.000747413997763818 1.77681974017409e-05 USP14 downregulated
302 -0.586680523311648 0.000747735093080234 1.78106853383676e-05 DCTN2 downregulated
303 -0.594250566685792 0.000753342896691994 1.79793764558011e-05 WDR3 downregulated
304 -0.60890123597309 0.000754001398039336 1.80302389966056e-05 GMPR2 downregulated
305 -0.491436918461079 0.000761760817419176 1.82868046879632e-05 DNTTIP1 downregulated
306 -0.760213123086433 0.00076397087740596 1.83754706913474e-05 PRPS1 downregulated
307 -0.825455887249345 0.000771132387705405 1.86417994137688e-05 ENOPH1 downregulated
308 -0.911233432007096 0.00077429102063798 1.88786460269403e-05 MFSD6 downregulated
309 -1.25462909059387 0.00077429102063798 1.8942728032797e-05 SCARB2 downregulated
310 -1.17740005804199 0.00077429102063798 1.89359639224582e-05 LYRM9 downregulated
311 -0.710631522140856 0.000775063409295982 1.90035590961491e-05 SBDSP1 downregulated
312 -0.738317640122482 0.000775648751728809 1.91525081956218e-05 C2orf16 downregulated
313 -0.75960202039125 0.000775648751728809 1.92260144521834e-05 SKP1 downregulated
314 -0.581811788599043 0.000775648751728809 1.92348452859612e-05 FTO downregulated
315 -0.718981764623931 0.000775648751728809 1.91102545569179e-05 PSMD8 downregulated
316 -0.634475057777848 0.000780013617302259 1.93794461390996e-05 ARPC3 downregulated
317 -0.681256083466946 0.000787479519686458 1.96016437567039e-05 BPNT1 downregulated
318 -0.413742446344768 0.000796566648063072 2.00418720000601e-05 KAT7 downregulated
319 -0.660729828439155 0.000798200050972152 2.0165118796663e-05 TSN downregulated
320 -0.646089205910016 0.00079906165462427 2.02624127215589e-05 ZNF627 downregulated
321 -0.815892372739051 0.00080043549753275 2.03345614205635e-05 ELAC1 downregulated
322 -0.793441307313083 0.000803919121898152 2.04605342169576e-05 NDUFV2 downregulated
323 -0.643420039524412 0.000807202975507588 2.05957008298971e-05 PWP1 downregulated
324 -0.557753067963565 0.000807202975507588 2.06569912624652e-05 COA3 downregulated
325 -0.648968942962862 0.000832483110239533 2.14591506997838e-05 GAPDH downregulated
326 -0.656836789010685 0.00084403104092201 2.18192283333818e-05 LIG4 downregulated
327 -0.419300466852279 0.000846990969374616 2.19515675650159e-05 OSBP downregulated
328 -0.666478694509651 0.000852582344139878 2.21362217725219e-05 CHMP5 downregulated
329 -1.27053444949912 0.000879794706996942 2.29247770107347e-05 STMN4 downregulated
330 -0.484710165452182 0.000899363918047682 2.36023812921664e-05 TMEM222 downregulated
